,CUST NO. ,XCOORD.,YCOORD.,DEMAND,READY TIME ,DUE DATE ,SERVICE TIME
0,0,35,35,0,0,1000,0
1,1,41,49,10,190,974,10
2,2,35,17,7,18,792,10
3,3,55,45,13,289,822,10
4,4,55,20,19,679,800,10
5,5,15,30,26,20,906,10
6,6,25,30,3,355,574,10
7,7,20,50,5,72,669,10
8,8,10,43,9,393,492,10
9,9,55,60,16,394,503,10
10,10,30,60,16,517,692,10
11,11,20,65,12,206,325,10
12,12,50,35,19,15,725,10
13,13,30,25,23,694,823,10
14,14,15,10,20,32,694,10
15,15,30,5,8,176,299,10
16,16,10,20,19,102,543,10
17,17,5,30,2,673,930,10
18,18,20,40,12,229,582,10
19,19,15,60,17,95,552,10
20,20,45,65,9,418,829,10
21,21,45,20,11,18,727,10
22,22,45,10,18,349,554,10
23,23,55,5,29,206,325,10
24,24,65,35,3,435,960,10
25,25,65,20,6,826,956,10
26,26,45,30,17,328,927,10
27,27,35,40,16,44,315,10
28,28,41,37,16,6,526,10
29,29,64,42,9,29,513,10
30,30,40,60,21,199,414,10
31,31,31,52,27,17,744,10
32,32,35,69,23,482,955,10
33,33,53,52,11,24,299,10
34,34,65,55,14,265,878,10
35,35,63,65,8,626,873,10
36,36,2,60,5,41,328,10
37,37,20,20,8,339,960,10
38,38,5,5,16,298,409,10
39,39,60,12,31,33,344,10
40,40,40,25,9,300,497,10
41,41,42,7,5,336,571,10
42,42,24,12,5,25,292,10
43,43,23,3,7,458,867,10
44,44,11,14,18,230,343,10
45,45,6,38,16,29,309,10
46,46,2,48,1,338,805,10
47,47,8,56,27,34,602,10
48,48,13,52,36,200,962,10
49,49,6,68,30,441,600,10
50,50,47,47,13,272,917,10
51,51,49,58,10,176,625,10
52,52,27,43,9,11,748,10
53,53,37,31,14,403,500,10
54,54,57,29,18,475,900,10
55,55,63,23,2,620,739,10
56,56,53,12,6,525,752,10
57,57,32,12,7,246,705,10
58,58,36,26,18,854,980,10
59,59,21,24,28,17,972,10
60,60,17,34,3,449,971,10
61,61,12,24,13,126,541,10
62,62,24,58,19,168,297,10
63,63,27,69,10,34,588,10
64,64,15,77,9,154,393,10
65,65,62,77,20,49,308,10
66,66,49,73,25,532,753,10
67,67,67,5,25,291,404,10
68,68,56,39,36,577,812,10
69,69,37,47,6,165,290,10
70,70,37,56,5,668,968,10
71,71,57,68,15,98,537,10
72,72,47,16,25,22,915,10
73,73,44,17,9,143,564,10
74,74,46,13,8,681,802,10
75,75,49,11,18,27,711,10
76,76,49,42,13,281,382,10
77,77,53,43,14,821,948,10
78,78,61,52,3,324,559,10
79,79,57,48,23,377,476,10
80,80,56,37,6,719,968,10
81,81,55,54,26,268,599,10
82,82,15,47,16,23,761,10
83,83,14,37,11,21,842,10
84,84,11,31,7,425,522,10
85,85,16,22,41,110,727,10
86,86,4,18,35,230,623,10
87,87,28,18,26,397,470,10
88,88,26,52,9,219,448,10
89,89,26,35,15,409,981,10
90,90,31,67,3,225,654,10
91,91,15,19,1,222,964,10
92,92,22,22,2,18,159,10
93,93,18,24,22,691,969,10
94,94,26,27,27,190,749,10
95,95,25,24,20,14,793,10
96,96,22,27,11,344,953,10
97,97,25,21,12,462,823,10
98,98,19,21,10,21,748,10
99,99,20,26,9,328,437,10
100,100,18,18,17,821,965,10
